Counter,Demand_el [MWh],Demand_th [MWh],Sol_irradiation [Wh/sqm],Wind_power [kW/unit],Charging [-],Dicharging [-],Mobility_bev [MWh],Mobility_car [km]
180.0000000000,3.5550265040,20.7734693900,47.9407894300,1118.8090250000,0.0000000000,1.0000000000,3.5086419667,9042.8916666667
181.0000000000,3.4599937160,19.7408163300,53.2675438100,1017.0449920000,0.0000000000,1.0000000000,3.5086419667,9042.8916666667
182.0000000000,3.3547168190,19.4591836700,34.6239034700,1224.2278270000,0.0000000000,1.0000000000,3.5086419667,9042.8916666667
183.0000000000,3.2406906630,19.4591836700,13.3168859500,915.2809597000,0.0000000000,1.0000000000,3.5086419667,9042.8916666667
184.0000000000,3.2407346290,19.4591836700,2.6633771900,503.0511033000,0.0000000000,1.0000000000,3.5086419667,9042.8916666667
185.0000000000,3.2694225280,19.5530612200,0.0000000000,472.8833720000,0.0000000000,1.0000000000,3.5086419667,9042.8916666667
186.0000000000,3.4587406810,19.4591836700,0.0000000000,573.6481642000,0.0000000000,1.0000000000,3.5086419667,9042.8916666667
187.0000000000,3.3782167150,19.4591836700,0.0000000000,258.6758467000,1.0000000000,0.0000000000,0.0000000000,9042.8916666667
188.0000000000,3.2419436980,21.6183673500,0.0000000000,733.7715276000,1.0000000000,0.0000000000,0.0000000000,9042.8916666667
189.0000000000,2.8923690030,20.5857142900,0.0000000000,1990.1738640000,1.0000000000,0.0000000000,0.0000000000,9042.8916666667
190.0000000000,2.5952678850,19.5530612200,0.0000000000,613.6790050000,1.0000000000,0.0000000000,0.0000000000,9042.8916666667
191.0000000000,2.4632815640,18.8020408200,0.0000000000,1118.8090250000,1.0000000000,0.0000000000,0.0000000000,9042.8916666667
192.0000000000,2.0569026310,17.0183673500,0.0000000000,1279.6932300000,1.0000000000,0.0000000000,0.0000000000,9042.8916666667
193.0000000000,1.6615591960,16.7367346900,0.0000000000,733.7715276000,1.0000000000,0.0000000000,0.0000000000,9042.8916666667
194.0000000000,1.4677345150,15.9857142900,0.0000000000,966.1629761000,1.0000000000,0.0000000000,0.0000000000,9042.8916666667
195.0000000000,1.3504768480,15.7040816300,0.0000000000,1279.6932300000,1.0000000000,0.0000000000,0.0000000000,9042.8916666667
196.0000000000,1.3887273810,15.6102040800,0.0000000000,1118.8090250000,1.0000000000,0.0000000000,0.0000000000,9042.8916666667
197.0000000000,1.5134812730,16.5489795900,0.0000000000,1279.6932300000,1.0000000000,0.0000000000,0.0000000000,9042.8916666667
198.0000000000,1.8522402990,18.0510204100,0.0000000000,1279.6932300000,1.0000000000,0.0000000000,0.0000000000,9042.8916666667
199.0000000000,2.5332536590,18.9897959200,0.0000000000,1390.6240370000,0.0000000000,1.0000000000,3.5086419667,9042.8916666667
200.0000000000,3.1961090080,20.8673469400,0.0000000000,1557.0202470000,0.0000000000,1.0000000000,3.5086419667,9042.8916666667
